experience_years,age,projects_completed,training_hours,salary_lakh,experience_score,project_experience_ratio
15.5,46.0,20.0,0.0,20.6,0.775,1.2121212121212122
14.4,46.0,18.0,9.0,18.6,0.72,1.1688311688311688
13.1,29.0,2.0,61.0,13.2,0.655,0.14184397163120568
11.4,22.0,15.0,100.0,15.5,0.5700000000000001,1.2096774193548387
8.5,57.0,15.0,2.0,16.1,0.425,1.5789473684210527
4.1,49.0,3.0,42.0,7.1,0.205,0.5882352941176471
17.8,33.0,8.0,37.0,18.6,0.89,0.425531914893617
14.8,39.0,0.0,75.0,15.8,0.74,0.0
3.8,31.0,7.0,19.0,4.3,0.19,1.4583333333333335
15.5,43.0,0.0,30.0,15.1,0.775,0.0
3.9,22.0,2.0,8.0,4.8,0.195,0.4081632653061224
19.4,47.0,0.0,36.0,21.9,0.97,0.0
0.3,53.0,11.0,75.0,8.2,0.015,8.461538461538462
2.9,59.0,14.0,22.0,4.0,0.145,3.58974358974359
11.4,39.0,19.0,67.0,16.3,0.5700000000000001,1.532258064516129
10.1,21.0,20.0,28.0,14.4,0.505,1.8018018018018018
17.5,39.0,16.0,20.0,22.5,0.875,0.8648648648648649
2.6,59.0,10.0,2.0,11.4,0.13,2.7777777777777777
4.1,48.0,9.0,18.0,11.2,0.205,1.7647058823529413
17.4,31.0,10.0,10.0,19.1,0.8699999999999999,0.5434782608695653
12.2,57.0,3.0,61.0,14.9,0.61,0.2272727272727273
2.7,42.0,7.0,76.0,8.7,0.135,1.8918918918918919
17.6,52.0,8.0,7.0,20.4,0.8800000000000001,0.4301075268817204
16.3,30.0,10.0,0.0,13.9,0.8150000000000001,0.5780346820809248
7.6,58.0,16.0,17.0,12.0,0.38,1.8604651162790697
15.8,34.0,4.0,22.0,16.3,0.79,0.23809523809523808
7.8,42.0,18.0,25.0,12.4,0.39,2.0454545454545454
19.2,28.0,10.0,61.0,23.1,0.96,0.49504950495049505
3.5,40.0,7.0,81.0,9.2,0.175,1.5555555555555556
1.0,55.0,12.0,30.0,5.7,0.05,6.0
5.4,58.0,10.0,39.0,8.6,0.27,1.5625
0.4,29.0,17.0,37.0,6.9,0.02,12.142857142857144
9.1,47.0,2.0,54.0,9.0,0.45499999999999996,0.19801980198019803
4.9,36.0,1.0,45.0,9.6,0.24500000000000002,0.1694915254237288
10.5,34.0,4.0,51.0,10.4,0.525,0.34782608695652173
13.0,31.0,2.0,18.0,12.3,0.65,0.14285714285714285
19.5,39.0,10.0,9.0,21.4,0.975,0.4878048780487805
15.9,33.0,3.0,0.0,20.6,0.795,0.1775147928994083
4.6,44.0,5.0,13.0,9.5,0.22999999999999998,0.8928571428571429
10.9,41.0,13.0,29.0,16.1,0.545,1.0924369747899159
3.5,46.0,9.0,83.0,10.0,0.175,2.0
8.9,46.0,5.0,9.0,12.7,0.445,0.5050505050505051
0.0,40.0,0.0,41.0,2.3,0.0,0.0
14.9,59.0,19.0,70.0,21.3,0.745,1.1949685534591195
4.7,31.0,6.0,33.0,3.7,0.23500000000000001,1.0526315789473684
4.9,53.0,8.0,86.0,9.3,0.24500000000000002,1.3559322033898304
15.3,23.0,20.0,59.0,19.1,0.765,1.2269938650306749
14.0,24.0,16.0,68.0,16.4,0.7,1.0666666666666667
16.6,27.0,7.0,40.0,16.5,0.8300000000000001,0.3977272727272727
6.7,57.0,19.0,68.0,10.7,0.335,2.4675324675324677
19.9,41.0,12.0,52.0,19.2,0.9949999999999999,0.5741626794258373
18.8,46.0,13.0,34.0,21.7,0.9400000000000001,0.6565656565656566
4.1,21.0,13.0,12.0,9.7,0.205,2.5490196078431375
1.6,44.0,17.0,42.0,7.3,0.08,6.538461538461538
16.4,46.0,17.0,42.0,17.9,0.82,0.9770114942528736
16.1,42.0,1.0,21.0,15.1,0.805,0.05847953216374269
19.1,22.0,3.0,81.0,22.6,0.9550000000000001,0.14925373134328357
0.7,51.0,4.0,80.0,9.0,0.034999999999999996,2.3529411764705883
13.7,40.0,11.0,27.0,17.8,0.6849999999999999,0.7482993197278912
11.4,21.0,14.0,54.0,14.8,0.5700000000000001,1.129032258064516
0.2,39.0,20.0,13.0,6.8,0.01,16.666666666666668
6.3,27.0,0.0,72.0,10.6,0.315,0.0
16.7,58.0,5.0,77.0,16.4,0.835,0.2824858757062147
14.1,32.0,17.0,49.0,18.1,0.705,1.1258278145695364
0.6,47.0,8.0,2.0,2.0,0.03,5.0
13.4,48.0,0.0,33.0,13.9,0.67,0.0
7.2,41.0,5.0,46.0,10.1,0.36,0.6097560975609757
0.1,59.0,7.0,96.0,6.9,0.005,6.363636363636363
17.1,30.0,1.0,94.0,17.8,0.8550000000000001,0.055248618784530384
19.6,33.0,16.0,96.0,23.9,0.9800000000000001,0.7766990291262136
6.7,58.0,11.0,55.0,11.4,0.335,1.4285714285714286
9.2,25.0,9.0,41.0,14.5,0.45999999999999996,0.8823529411764707
10.7,41.0,6.0,53.0,12.6,0.5349999999999999,0.5128205128205129
5.6,50.0,0.0,79.0,9.4,0.27999999999999997,0.0
1.8,25.0,3.0,45.0,3.8,0.09,1.0714285714285714
19.9,40.0,1.0,83.0,25.2,0.9949999999999999,0.04784688995215311
19.2,27.0,15.0,21.0,15.7,0.96,0.7425742574257426
8.8,53.0,4.0,27.0,11.6,0.44000000000000006,0.4081632653061224
10.9,31.0,2.0,95.0,11.5,0.545,0.1680672268907563
0.2,53.0,6.0,99.0,4.6,0.01,5.0
17.6,44.0,6.0,15.0,20.8,0.8800000000000001,0.3225806451612903
9.3,39.0,3.0,57.0,9.7,0.465,0.2912621359223301
1.0,54.0,15.0,7.0,8.3,0.05,7.5
11.8,24.0,16.0,46.0,18.5,0.5900000000000001,1.25
12.5,27.0,12.0,82.0,18.0,0.625,0.8888888888888888
8.8,35.0,20.0,3.0,14.7,0.44000000000000006,2.0408163265306123
9.2,53.0,3.0,39.0,15.0,0.45999999999999996,0.29411764705882354
19.9,57.0,8.0,33.0,20.4,0.9949999999999999,0.3827751196172249
7.1,50.0,17.0,71.0,13.8,0.355,2.0987654320987654
8.3,57.0,5.0,61.0,10.6,0.41500000000000004,0.5376344086021505
16.2,49.0,18.0,100.0,18.7,0.8099999999999999,1.0465116279069768
4.4,31.0,3.0,65.0,7.0,0.22000000000000003,0.5555555555555555
13.8,35.0,13.0,19.0,16.6,0.6900000000000001,0.8783783783783783
11.3,50.0,0.0,28.0,13.1,0.5650000000000001,0.0
4.5,58.0,20.0,71.0,11.6,0.225,3.6363636363636362
9.5,49.0,19.0,17.0,16.0,0.475,1.8095238095238095
0.3,51.0,20.0,82.0,4.7,0.015,15.384615384615383
15.5,43.0,18.0,31.0,19.8,0.775,1.0909090909090908
2.3,53.0,17.0,14.0,10.2,0.11499999999999999,5.151515151515151
16.7,44.0,5.0,28.0,17.2,0.835,0.2824858757062147
3.0,32.0,4.0,43.0,1.9,0.15,1.0
6.4,26.0,13.0,90.0,13.2,0.32,1.7567567567567566
19.4,57.0,16.0,86.0,23.2,0.97,0.7843137254901962
1.8,49.0,12.0,46.0,5.3,0.09,4.285714285714286
11.2,29.0,13.0,42.0,12.0,0.5599999999999999,1.0655737704918034
13.4,30.0,17.0,65.0,16.4,0.67,1.1805555555555556
9.0,48.0,9.0,33.0,12.9,0.45,0.9
19.9,22.0,11.0,40.0,19.5,0.9949999999999999,0.5263157894736843
7.2,46.0,8.0,71.0,7.5,0.36,0.9756097560975611
16.6,33.0,17.0,91.0,19.4,0.8300000000000001,0.9659090909090908
6.4,53.0,3.0,17.0,7.4,0.32,0.4054054054054054
14.4,56.0,14.0,92.0,16.4,0.72,0.9090909090909091
3.3,45.0,9.0,41.0,9.8,0.16499999999999998,2.0930232558139537
13.5,26.0,8.0,52.0,16.1,0.675,0.5517241379310345
12.1,47.0,12.0,87.0,19.4,0.605,0.916030534351145
1.3,52.0,12.0,33.0,5.7,0.065,5.217391304347826
15.4,28.0,6.0,85.0,17.0,0.77,0.3658536585365854
0.7,25.0,14.0,5.0,7.7,0.034999999999999996,8.23529411764706
9.9,23.0,20.0,8.0,15.1,0.495,1.8348623853211008
13.7,32.0,5.0,70.0,18.8,0.6849999999999999,0.3401360544217687
8.0,39.0,16.0,34.0,11.4,0.4,1.7777777777777777
1.0,48.0,6.0,76.0,2.8,0.05,3.0
10.4,41.0,9.0,72.0,14.5,0.52,0.7894736842105263
10.7,51.0,8.0,68.0,13.1,0.5349999999999999,0.6837606837606838
9.9,51.0,16.0,73.0,17.2,0.495,1.4678899082568806
11.4,24.0,2.0,10.0,13.8,0.5700000000000001,0.16129032258064516
17.5,57.0,12.0,30.0,19.2,0.875,0.6486486486486487
6.4,60.0,0.0,65.0,10.1,0.32,0.0
8.9,24.0,3.0,41.0,11.9,0.445,0.30303030303030304
7.2,24.0,5.0,94.0,10.2,0.36,0.6097560975609757
16.6,56.0,10.0,6.0,19.0,0.8300000000000001,0.5681818181818181
12.0,38.0,17.0,98.0,17.4,0.6,1.3076923076923077
9.9,38.0,10.0,100.0,15.2,0.495,0.9174311926605504
7.4,28.0,10.0,49.0,10.6,0.37,1.1904761904761905
2.3,30.0,20.0,75.0,11.2,0.11499999999999999,6.0606060606060606
19.9,48.0,8.0,61.0,23.0,0.9949999999999999,0.3827751196172249
3.5,56.0,5.0,66.0,8.8,0.175,1.1111111111111112
3.8,46.0,0.0,92.0,6.9,0.19,0.0
1.8,45.0,20.0,62.0,10.9,0.09,7.142857142857143
15.1,29.0,16.0,71.0,20.2,0.755,0.9937888198757763
8.3,59.0,6.0,24.0,9.2,0.41500000000000004,0.6451612903225806
14.9,32.0,4.0,10.0,15.2,0.745,0.25157232704402516
4.4,25.0,4.0,84.0,8.1,0.22000000000000003,0.7407407407407407
0.7,60.0,5.0,33.0,3.6,0.034999999999999996,2.9411764705882355
12.4,46.0,18.0,17.0,17.8,0.62,1.3432835820895521
17.4,31.0,16.0,63.0,20.1,0.8699999999999999,0.8695652173913044
13.0,23.0,5.0,29.0,13.5,0.65,0.35714285714285715
14.5,41.0,7.0,41.0,18.7,0.725,0.45161290322580644
15.6,55.0,16.0,13.0,15.4,0.78,0.9638554216867469
15.3,38.0,8.0,10.0,16.7,0.765,0.49079754601226994
6.7,39.0,13.0,27.0,10.8,0.335,1.6883116883116882
10.0,39.0,1.0,75.0,12.3,0.5,0.09090909090909091
12.3,35.0,3.0,28.0,15.1,0.615,0.22556390977443608
18.2,48.0,7.0,36.0,18.9,0.9099999999999999,0.36458333333333337
19.3,56.0,19.0,60.0,23.9,0.9650000000000001,0.9359605911330049
10.1,26.0,10.0,75.0,14.2,0.505,0.9009009009009009
15.0,32.0,3.0,22.0,12.0,0.75,0.1875
9.1,57.0,12.0,22.0,13.3,0.45499999999999996,1.188118811881188
17.6,27.0,7.0,25.0,19.4,0.8800000000000001,0.3763440860215054
17.8,44.0,8.0,3.0,16.6,0.89,0.425531914893617
